iter	Passed	Remaining
0	128	128676
1	131	65533
2	134	44567
3	136	33918
4	137	27377
5	138	22976
6	140	19908
7	144	17883
8	146	16080
9	147	14639
10	149	13408
11	150	12376
12	151	11526
13	154	10854
14	156	10280
15	158	9717
16	159	9206
17	160	8748
18	163	8443
19	165	8093
20	166	7759
21	167	7462
22	169	7183
23	171	6966
24	172	6734
25	175	6558
26	178	6450
27	180	6273
28	182	6120
29	184	5963
30	187	5872
31	193	5848
32	195	5721
33	196	5592
34	198	5474
35	201	5398
36	203	5296
37	209	5309
38	212	5233
39	215	5175
40	218	5114
41	223	5101
42	225	5022
43	227	4940
44	228	4852
45	230	4783
46	232	4709
47	233	4629
48	239	4644
49	241	4586
50	243	4524
51	244	4457
52	245	4392
53	246	4326
54	248	4272
55	253	4276
56	255	4221
57	256	4168
58	257	4112
59	258	4056
60	259	4000
61	261	3951
62	262	3910
63	265	3886
64	267	3854
65	269	3810
66	270	3767
67	271	3716
68	272	3673
69	273	3636
70	275	3598
71	276	3560
72	277	3523
73	299	3744
74	301	3718
75	302	3681
76	303	3643
77	304	3604
78	306	3570
79	307	3538
80	308	3503
81	309	3468
82	313	3465
83	315	3439
84	316	3405
85	317	3373
86	318	3341
87	319	3315
88	321	3290
89	322	3265
90	324	3240
91	328	3242
92	330	3220
93	331	3196
94	333	3173
95	334	3149
96	335	3127
97	337	3105
98	341	3110
99	344	3099
100	345	3079
101	346	3052
102	347	3030
103	349	3010
104	351	2992
105	352	2975
106	356	2973
107	357	2955
108	359	2939
109	361	2920
110	362	2902
111	363	2882
112	365	2865
113	366	2847
114	367	2827
115	368	2807
116	371	2803
117	373	2792
118	374	2774
119	376	2759
120	381	2767
121	382	2753
122	383	2734
123	386	2729
124	388	2720
125	390	2705
126	391	2690
127	392	2672
128	394	2661
129	397	2661
130	402	2670
131	404	2659
132	406	2647
133	407	2634
134	410	2628
135	411	2612
136	413	2603
137	414	2590
138	417	2583
139	418	2570
140	420	2561
141	422	2550
142	423	2538
143	425	2529
144	426	2517
145	428	2505
146	431	2505
147	433	2494
148	435	2485
149	438	2482
150	439	2472
151	441	2460
152	442	2449
153	446	2451
154	447	2440
155	448	2428
156	450	2417
157	452	2409
158	453	2400
159	455	2390
160	456	2380
161	458	2372
162	460	2362
163	461	2353
164	463	2347
165	466	2341
166	468	2334
167	469	2324
168	470	2315
169	472	2305
170	473	2295
171	474	2285
172	476	2275
173	477	2265
174	479	2259
175	481	2255
176	483	2249
177	485	2242
178	487	2235
179	489	2229
180	490	2218
181	491	2209
182	493	2204
183	495	2199
184	498	2194
185	499	2186
186	501	2179
187	504	2179
188	507	2176
189	511	2181
190	513	2174
191	514	2166
192	516	2159
193	518	2152
194	519	2144
195	521	2139
196	523	2132
197	524	2124
198	525	2116
199	527	2109
200	528	2101
201	531	2099
202	532	2091
203	534	2086
204	537	2083
205	538	2076
206	540	2070
207	542	2064
208	543	2057
209	544	2050
210	546	2043
211	548	2039
212	550	2034
213	552	2031
214	556	2030
215	557	2024
216	559	2018
217	561	2012
218	563	2009
219	565	2004
220	566	1997
221	569	1997
222	572	1993
223	575	1994
224	577	1989
225	580	1987
226	581	1981
227	583	1976
228	585	1972
229	587	1967
230	589	1961
231	592	1960
232	594	1955
233	596	1951
234	598	1948
235	616	1995
236	619	1993
237	620	1987
238	622	1981
239	623	1974
240	626	1972
241	627	1966
242	629	1960
243	631	1955
244	633	1951
245	634	1944
246	636	1939
247	637	1934
248	639	1929
249	641	1925
250	644	1921
251	645	1915
252	648	1913
253	649	1907
254	651	1902
255	653	1898
256	654	1893
257	656	1887
258	658	1883
259	660	1878
260	661	1873
261	663	1868
262	664	1862
263	666	1856
264	667	1851
265	668	1845
266	670	1840
267	671	1834
268	673	1829
269	674	1824
270	676	1820
271	678	1815
272	679	1810
273	681	1805
274	682	1800
275	684	1795
276	685	1790
277	688	1787
278	690	1783
279	693	1782
280	694	1776
281	696	1772
282	697	1768
283	699	1763
284	701	1759
285	703	1755
286	704	1749
287	705	1744
288	707	1740
289	711	1742
290	716	1744
291	718	1741
292	719	1736
293	721	1732
294	723	1728
295	724	1723
296	726	1719
297	728	1716
298	730	1712
299	731	1707
300	733	1703
301	735	1699
302	736	1694
303	738	1690
304	740	1686
305	742	1683
306	743	1679
307	746	1677
308	748	1673
309	750	1669
310	752	1667
311	754	1663
312	755	1658
313	759	1658
314	760	1653
315	761	1648
316	763	1644
317	764	1639
318	765	1635
319	767	1630
320	769	1627
321	771	1623
322	773	1621
323	775	1617
324	776	1612
325	778	1608
326	779	1604
327	781	1601
328	783	1597
329	784	1593
330	787	1592
331	789	1588
332	791	1585
333	793	1582
334	795	1579
335	798	1577
336	800	1573
337	802	1570
338	804	1569
339	806	1564
340	809	1563
341	810	1559
342	812	1555
343	814	1552
344	815	1548
345	818	1547
346	820	1543
347	821	1539
348	824	1537
349	825	1533
350	827	1529
351	829	1526
352	831	1523
353	832	1519
354	834	1516
355	836	1512
356	838	1509
357	839	1505
358	840	1500
359	842	1497
360	843	1492
361	844	1488
362	845	1484
363	846	1479
364	848	1476
365	849	1472
366	851	1467
367	852	1463
368	854	1460
369	855	1456
370	856	1452
371	858	1448
372	860	1445
373	861	1442
374	863	1438
375	864	1434
376	865	1430
377	867	1427
378	869	1424
379	871	1421
380	873	1418
381	875	1415
382	876	1412
383	878	1408
384	879	1405
385	883	1404
386	885	1402
387	887	1400
388	889	1397
389	892	1396
390	894	1393
391	895	1389
392	900	1391
393	902	1388
394	908	1391
395	910	1388
396	912	1385
397	915	1384
398	917	1382
399	930	1395
400	932	1392
401	934	1389
402	936	1386
403	941	1389
404	943	1386
405	945	1383
406	947	1379
407	948	1376
408	950	1373
409	952	1370
410	955	1369
411	957	1366
412	959	1363
413	961	1361
414	969	1366
415	975	1369
416	977	1366
417	978	1363
418	983	1363
419	985	1361
420	987	1358
421	990	1356
422	992	1353
423	993	1349
424	995	1346
425	997	1344
426	999	1341
427	1001	1338
428	1003	1335
429	1005	1332
430	1007	1329
431	1009	1326
432	1011	1324
433	1014	1323
434	1016	1320
435	1018	1317
436	1020	1314
437	1023	1312
438	1025	1309
439	1027	1308
440	1029	1304
441	1031	1301
442	1032	1298
443	1034	1294
444	1035	1291
445	1036	1288
446	1038	1284
447	1040	1282
448	1042	1279
449	1044	1276
450	1045	1272
451	1047	1269
452	1048	1265
453	1049	1262
454	1051	1259
455	1053	1256
456	1056	1255
457	1058	1252
458	1060	1249
459	1061	1246
460	1063	1243
461	1064	1240
462	1066	1236
463	1067	1233
464	1072	1233
465	1074	1231
466	1076	1228
467	1077	1225
468	1080	1223
469	1083	1221
470	1086	1220
471	1088	1217
472	1089	1214
473	1091	1211
474	1093	1208
475	1094	1205
476	1096	1202
477	1097	1198
478	1098	1195
479	1101	1193
480	1104	1191
481	1105	1188
482	1106	1184
483	1108	1181
484	1109	1178
485	1111	1175
486	1113	1172
487	1116	1171
488	1118	1168
489	1121	1167
490	1122	1163
491	1124	1160
492	1125	1157
493	1128	1155
494	1131	1153
495	1133	1151
496	1134	1148
497	1135	1144
498	1137	1141
499	1139	1139
500	1140	1136
501	1142	1133
502	1145	1132
503	1147	1129
504	1150	1127
505	1151	1124
506	1153	1121
507	1154	1118
508	1156	1115
509	1158	1112
510	1160	1110
511	1162	1107
512	1164	1105
513	1166	1102
514	1169	1101
515	1170	1097
516	1172	1095
517	1175	1093
518	1177	1091
519	1179	1088
520	1180	1085
521	1182	1082
522	1183	1079
523	1185	1076
524	1186	1073
525	1189	1072
526	1191	1069
527	1192	1066
528	1194	1063
529	1196	1060
530	1198	1058
531	1200	1055
532	1201	1052
